btbank_id,electrode_label,name,num,vox_x,vox_y,vox_z,hem,type,ras_scanner_x,ras_scanner_y,ras_scanner_z,mni305_x,mni305_y,mni305_z,mni152_x,mni152_y,mni152_z
6,T2A14,T2A,14,185.0,125.0,118.0,L,D,-57.364005440846086,20.572431839245837,-23.20306951244129,-65.78878004335256,-6.878763551548231,-22.823000653475447,-66.01867793081905,-6.241095425809231,-20.653587309987383
6,T2A13,T2A,13,183.0,125.0,118.0,L,D,-55.364005202427506,20.572431842971127,-23.20306951616658,-63.482711768290486,-6.855433545497368,-22.74716264916306,-63.7172103866129,-6.184257837147364,-20.608165092519585
6,T2A12,T2A,12,180.0,125.0,118.0,L,D,-52.36400484479964,20.572431848559063,-23.203069521754514,-60.02360935569739,-6.820438536421073,-22.63340564269447,-60.2650090703037,-6.099001454154567,-20.54003176631787
6,T2A11,T2A,11,176.0,125.0,119.0,L,D,-48.36400436796248,19.572431856009644,-23.20306953927502,-55.425358805287786,-7.847161526289802,-22.369196645717427,-55.666108990097285,-7.060148138270942,-20.32681770878161
6,T2A10,T2A,10,173.0,125.0,119.0,L,D,-45.36400401033461,19.57243186159758,-23.203069544862956,-51.96625639269469,-7.81216651721351,-22.255439639248845,-52.21390767378807,-6.974891755278146,-20.258684382579908
6,T2A9,T2A,9,169.0,125.0,119.0,L,D,-41.36400353349745,19.57243186904816,-23.203069552313536,-47.354119842570555,-7.765506505111783,-22.10376363062407,-47.6109725853758,-6.861216577954415,-20.1678399476443
6,T2A8,T2A,8,166.0,125.0,119.0,L,D,-38.364003175869584,19.572431874636095,-23.203069557901472,-43.89501742997746,-7.730511496035491,-21.990006624155484,-44.15877126906659,-6.77596019496162,-20.099706621442593
6,T2A7,T2A,7,162.0,126.0,120.0,L,D,-34.36400270089507,18.57243187178392,-24.203069694631267,-39.26841787847915,-8.952911520311265,-22.882482763977265,-39.55052227633068,-7.929770083071793,-21.038372054402608
6,T2A6,T2A,6,159.0,126.0,119.0,L,D,-31.364002343267202,19.572431877371855,-24.203069690149277,-35.79542946617152,-7.844533509264517,-22.881258745860954,-36.094285951815614,-6.769691838638892,-21.09260835080157
6,T2A5,T2A,5,155.0,126.0,119.0,L,D,-27.364001866430044,19.572431884822436,-24.203069697599858,-31.183292916047396,-7.797873497162794,-22.72958273723617,-31.491350863403344,-6.6560166613151655,-21.001763915865958
6,T2A4,T2A,4,151.0,126.0,119.0,L,D,-23.364001389592886,19.572431892273016,-24.20306970505044,-26.57115636592326,-7.75121348506107,-22.577906728611396,-26.88841577499107,-6.542341483991437,-20.91091948093035
6,T2A3,T2A,3,148.0,126.0,119.0,L,D,-20.364001031965017,19.57243189786095,-24.203069710638374,-23.112053953330165,-7.716218475984775,-22.464149722142814,-23.436214458681864,-6.457085100998638,-20.84278615472865
6,T2A2,T2A,2,145.0,126.0,119.0,L,D,-17.36400067433715,19.572431903448887,-24.20306971622631,-19.652951540737067,-7.681223466908483,-22.350392715674232,-19.98401314237266,-6.371828718005843,-20.774652828526943
