btbank_id,electrode_label,name,num,vox_x,vox_y,vox_z,hem,type,ras_scanner_x,ras_scanner_y,ras_scanner_z,mni305_x,mni305_y,mni305_z,mni152_x,mni152_y,mni152_z
1,T2aA12,T2aA,12,73.0,144.0,117.0,R,D,49.32007594406605,-5.785654969513416,9.512247889302671,59.75591758955558,-3.5640844775641076,-23.467760341641792,59.17661303025501,-1.088933131966463,-22.959384779673908
1,T2aA11,T2aA,11,76.0,144.0,117.0,R,D,46.32007558643818,-5.7856549471616745,9.512247911654413,56.57419820601007,-3.7797964773068164,-23.679026343870596,56.00070436112727,-1.350785337103356,-23.126669636912546
1,T2aA10,T2aA,10,79.0,144.0,116.0,R,D,43.32007523626089,-4.785654805600643,9.512247894424945,53.30344882376431,-2.9597933580444735,-23.973627399458888,52.726960850988156,-0.5770901134810531,-23.38552263647958
1,T2aA9,T2aA,9,83.0,144.0,116.0,R,D,39.32007475942373,-4.785654775798321,9.512247924227268,49.061156312370294,-3.247409357701418,-24.255315402430625,48.492415958817816,-0.9262263869969092,-23.608569112797767
1,T2aA8,T2aA,8,86.0,144.0,116.0,R,D,36.320074401795864,-4.785654753446579,9.51224794657901,45.879436928824774,-3.4631213574441286,-24.46658140465943,45.31650728969005,-1.1880785921338035,-23.77585397003641
1,T2aA7,T2aA,7,89.0,144.0,115.0,R,D,33.320074051618576,-3.7856546118855476,9.512247929349542,42.60868754657901,-2.643118238181785,-24.76118246024772,42.04276377955094,-0.41438336851150004,-24.034706969603437
1,T2aA6,T2aA,6,93.0,144.0,115.0,R,D,29.320073574781418,-3.7856545820832253,9.512247959151864,38.366395035184986,-2.9307342378387293,-25.042870463219465,37.80821888738058,-0.7635196420273563,-24.257753445921633
1,T2aA5,T2aA,5,97.0,144.0,115.0,R,D,25.32007309794426,-3.785654552280903,9.512247988954186,34.12410252379097,-3.2183502374956756,-25.3245584661912,33.57367399521024,-1.1126559155432143,-24.480799922239814
1,T2aA4,T2aA,4,100.0,144.0,114.0,R,D,22.32007274776697,-2.7856544107198715,9.512247971724719,30.853353141545213,-2.3983471182333322,-25.619159521779494,30.299930485071133,-0.33896069192091116,-24.73965292180685
1,T2aA3,T2aA,3,103.0,144.0,114.0,R,D,19.320072390139103,-2.7856543883681297,9.51224799407646,27.67163375799969,-2.614059117976041,-25.830425524008298,27.124021815943372,-0.6008128970578037,-24.906937779045492
1,T2aA2,T2aA,2,106.0,144.0,113.0,R,D,16.320072039961815,-1.7856542468070984,9.512247976846993,24.40088437575394,-1.7940559987136986,-26.12502657959659,23.850278305804263,0.1728823265644987,-25.165790778612525
1,T2aA1,T2aA,1,108.0,144.0,113.0,R,D,14.320071801543236,-1.7856542319059372,9.512247991748154,22.279738120056926,-1.9378639985421708,-26.26587058108246,21.733005859719093,-0.0016858101934293934,-25.27731401677162
1,T2bHa14,T2bHa,14,66.0,142.0,132.0,R,D,56.320076666772366,-20.785656852647662,11.512248430866748,68.31270346881281,-18.343963307611137,-19.504036532478786,67.88966159931472,-15.766697716265366,-18.980941112868376
1,T2bHa13,T2bHa,13,69.0,142.0,131.0,R,D,53.32007631659508,-19.78565671108663,11.51224841363728,65.04195408656706,-17.523960188348795,-19.79863758806708,64.61591808917562,-14.993002492643067,-19.239794112435415
1,T2bHa12,T2bHa,12,71.0,142.0,131.0,R,D,51.3200760781765,-19.78565669618547,11.512248428538442,62.92080783087005,-17.667768188177266,-19.939481589552948,62.49864564309044,-15.167570629400991,-19.351317350594506
1,T2bHa11,T2bHa,11,74.0,142.0,131.0,R,D,48.32007572054863,-19.785656673833728,11.512248450890183,59.739088447324534,-17.883480187919975,-20.15074759178175,59.32273697396268,-15.429422834537887,-19.518602207833148
1,T2bHa10,T2bHa,10,77.0,142.0,130.0,R,D,45.32007537037134,-18.785656532272696,11.512248433660716,56.46833906507877,-17.063477068657633,-20.445348647370043,56.048993463823564,-14.655727610915584,-19.777455207400177
1,T2bHa9,T2bHa,9,81.0,142.0,129.0,R,D,41.320074900984764,-17.785656383261085,11.512248423881829,52.13701655498451,-16.315377949309525,-20.81037170370127,51.716613730641875,-13.969316455672244,-20.09206982604676
